"name","substanceId","casNo","ecNo","pubchem_cid","pubchem"
"propylene glycol dicaprylate","37281","7384-98-7","230-962-9",94339,"https://pubchem.ncbi.nlm.nih.gov/compound/94339"
"peg-10 dimethicone","57344",,,,""
"peg/ppg-18/18 dimethicone","57121",,,,""
"peg-12 dimethicone","57431",,,,""
"bis-peg/ppg-14/14 dimethicone","54704",,,,""
"lauryl peg/ppg-18/18 methicone","57048",,,,""
"peg/ppg-17/18 dimethicone","57119",,,,""
"peg/ppg-19/19 dimethicone","57124",,,,""
"bis-peg-12 dimethicone beeswax","54709",,,,""
"lauryl peg-10 tris(trimethylsiloxy)silylethyl dimethicone","89868",,,,""
"peg-10 dimethicone crosspolymer","57345",,,,""
"barium sulfate","32059","7727-43-7","231-784-4",24414,"https://pubchem.ncbi.nlm.nih.gov/compound/24414"
"caprylyl methicone","55141","17955-88-3","241-881-3",87373,"https://pubchem.ncbi.nlm.nih.gov/compound/87373"
"caprylyl trimethicone","55142","187593-69-7","-",,""
"caprylyl dimethicone ethoxy glucoside","55136",,,,""
"peg/ppg-20/20 phenylisopropyl caprylyl dimethicone","93325",,,,""
"polymethyl methacrylate","79016","9011-14-7",,,""
"glyceryl polymethacrylate","76246","28474-30-8 / 146126-21-8",,,""
"sodium polymethacrylate","80002","25086-62-8",,3255932,"https://pubchem.ncbi.nlm.nih.gov/compound/3255932"
"polyethylmethacrylate","36711","9003-42-3",,7343,"https://pubchem.ncbi.nlm.nih.gov/compound/7343"
"sorbitan isostearate","38179","71902-01-7","276-171-2",,""
"sorbitan stearate","38187","1338-41-6","215-664-9",,""
"sorbitan sesquiisostearate","38184","71812-38-9",,,""
"sorbitan tristearate","38190","26658-19-5","247-891-4",62815,"https://pubchem.ncbi.nlm.nih.gov/compound/62815"
"peg-40 sorbitan perisostearate","76900",,,,""
"peg-20 sorbitan isostearate","78053","66794-58-9","-",,""
"peg-4 sorbitan stearate","58152","9005-67-8",,443314,"https://pubchem.ncbi.nlm.nih.gov/compound/443314"
"sorbeth-30 tetraisostearate","58324",,,,""
"peg-6 sorbitan stearate","77210","9005-67-8",,443314,"https://pubchem.ncbi.nlm.nih.gov/compound/443314"
"disteardimonium hectorite","33691","97280-96-1","306-493-1",,""
"aluminum hydroxide","74215","21645-51-2","244-492-7",6328211,"https://pubchem.ncbi.nlm.nih.gov/compound/6328211"
"aluminum chlorohydrate","31452","12042-91-0","234-933-1",6328160,"https://pubchem.ncbi.nlm.nih.gov/compound/6328160"
"potassium alum","79432","10043-67-1 / 7784-24-9","233-141-3 / -",62667,"https://pubchem.ncbi.nlm.nih.gov/compound/62667"
"aluminum sesquichlorohydrate","31686","11089-92-2","234-310-4",10154268,"https://pubchem.ncbi.nlm.nih.gov/compound/10154268"
"ammonium alum","31844","7784-25-0","232-055-3",3032540,"https://pubchem.ncbi.nlm.nih.gov/compound/3032540"
"trimethylsiloxysilicate","80398",,,,""
"c24-28 alkyldimethylsiloxy trimethylsiloxysilicate","91398","1402155-63-8",,,""
"trimethylsiloxysilicate/dimethiconol crosspolymer","59868",,,,""
"dimethicone/vinyltrimethylsiloxysilicate crosspolymer","55790",,,,""
"trimethylsiloxysilicate/dimethicone crosspolymer","59867",,,,""
"sorbitan olivate","38182","223706-40-9",,,""
"sorbitan sesquioleate","38185","8007-43-0","232-360-1",6433515,"https://pubchem.ncbi.nlm.nih.gov/compound/6433515"
"sorbitan oleate","38181","1338-43-8","215-665-4",347521,"https://pubchem.ncbi.nlm.nih.gov/compound/347521"
"sorbitan oleate decylglucoside crosspolymer","88624","-","-",,""
"sorbitan trioleate","38189","26266-58-0","247-569-3",23725023,"https://pubchem.ncbi.nlm.nih.gov/compound/23725023"
"peg-40 sorbitan peroleate","76901","-","-",,""
"sorbeth-30 tetraoleate","58325",,,,""
"peg-30 sorbitan tetraoleate","78303",,,,""
"peg-6 sorbitan oleate","77209","9005-65-6",,443315,"https://pubchem.ncbi.nlm.nih.gov/compound/443315"
"propylene carbonate","37268","108-32-7","203-572-1",7924,"https://pubchem.ncbi.nlm.nih.gov/compound/7924"
"propylene glycol dipelargonate","37289","41395-83-9","255-350-9",38855,"https://pubchem.ncbi.nlm.nih.gov/compound/38855"
"oleanolic acid","57708","508-02-1","208-081-6",10494,"https://pubchem.ncbi.nlm.nih.gov/compound/10494"
"lanolin acid","34858","68424-43-1","270-302-7",,""
"polyquaternium-11","79108","53633-54-8","-",94559,"https://pubchem.ncbi.nlm.nih.gov/compound/94559"
"polyquaternium-51","58830","125275-25-4","-",159569,"https://pubchem.ncbi.nlm.nih.gov/compound/159569"
"polyquaternium-55","58834","306769-73-3","-",,""
"polyquaternium-59","58838","-","-",,""
"polyquaternium-53","58832","84647-38-1","-",,""
"polyquaternium-52","58831","-","-",,""
"polyquaternium-57","58836","-","-",,""
"polyquaternium-12","79109","68877-50-9","-",,""
"aspergillus/rice ferment filtrate","54547",,,,""
"aspergillus/saccharomyces/rice ferment filtrate","54622","-","-",,""
"propylparaben","37312","94-13-3","202-307-7",7175,"https://pubchem.ncbi.nlm.nih.gov/compound/7175"
"isopropylparaben","34713","4191-73-5","224-069-3",20161,"https://pubchem.ncbi.nlm.nih.gov/compound/20161"
"ultramarines","80486","1302-83-6 / 1317-97-1 / 1345-00-2 / 11118-33-5 / 12703-66-1 / 12769-96-9 / 57455-37-5","215-111-1 / 215-711-3 / 235-811-0 / - / - / - / -",,""
"dipropylene glycol","75742","110-98-5 / 25265-71-8","203-821-4 / 246-770-3",8087,"https://pubchem.ncbi.nlm.nih.gov/compound/8087"
"dipropylene glycol dibenzoate","75744","27138-31-4 / 94-51-9","248-258-5",101560,"https://pubchem.ncbi.nlm.nih.gov/compound/101560"
"ppg-2 myristyl ether propionate","79942","74775-06-7",,,""
"ppg-2 methyl ether","37103","13429-07-7 / 34590-94-8","236-547-9 / 252-104-2",25485,"https://pubchem.ncbi.nlm.nih.gov/compound/25485"
"dipropylene glycol caprylate","33560","220604-16-0",,,""
"hydrogenated polydecene","76642","68037-01-4","500-183-1",13381,"https://pubchem.ncbi.nlm.nih.gov/compound/13381"
"dimethyldibenzylidene sorbitol","55926","135861-56-2",,,""
"peg-9 polydimethylsiloxyethyl dimethicone","57454",,,,""
"lauryl peg-9 polydimethylsiloxyethyl dimethicone","57051",,,,""
"tribehenin","38647","18641-57-1","242-471-7",62726,"https://pubchem.ncbi.nlm.nih.gov/compound/62726"
"glyceryl behenate","76196","30233-64-8 / 6916-74-1","250-097-0",,""
"acrylates/beheneth-25 methacrylate copolymer","54266",,,,""
"glyceryl dibehenate","34055","94201-62-4","303-650-6",9810617,"https://pubchem.ncbi.nlm.nih.gov/compound/9810617"
"ammonium acryloyldimethyltaurate/beheneth-25 methacrylate crosspolymer","54589",,,27423,"https://pubchem.ncbi.nlm.nih.gov/compound/27423"
"beheneth-5","32108","26636-40-8","-",,""
"beheneth-20","74580","26636-40-8","-",,""
"beheneth-10","74579","26636-40-8","-",,""
"beheneth-25","74581","26636-40-8","-",,""
"trehalose","80292","99-20-7","202-739-6",7427,"https://pubchem.ncbi.nlm.nih.gov/compound/7427"
"glycosyl trehalose","56459","-","-",,""
"potassium methoxysalicylate","59237","152312-71-5",,,""
"polyvinyl butyral","79331","63148-65-2",,,""
"polyvinyl alcohol","79330","9002-89-5 / 25213-24-5",,11199,"https://pubchem.ncbi.nlm.nih.gov/compound/11199"
"polyvinylalcohol crosspolymer","58935","93409-71-3",,,""
"polyvinyl acetate","36908","9003-20-7",,,""
"hydroxyethylcellulose","76845","9004-62-0","-",,""
"cetyl hydroxyethylcellulose","74959","80455-45-4","-",,""
"pg-hydroxyethylcellulose cocodimonium chloride","79591","130353-64-9","-",,""
"hydroxyethyl ethylcellulose","76832","9004-58-4","-",,""
"methyl hydroxyethylcellulose","78363","9032-42-2","-",,""
"carboxymethyl hydroxyethylcellulose","74828","9088-04-4","-",,""
"sodium stearoxy pg-hydroxyethylcellulose sulfonate","59647",,,,""
"disodium edta","33604","139-33-3 --- 6381-92-6","205-358-3",8759,"https://pubchem.ncbi.nlm.nih.gov/compound/8759"
"tetrasodium edta","38569","64-02-8","200-573-9",6144,"https://pubchem.ncbi.nlm.nih.gov/compound/6144"
"tetrasodium glutamate diacetate","84400","51981-21-6","257-573-7",11508569,"https://pubchem.ncbi.nlm.nih.gov/compound/11508569"
"trisodium ethylenediamine disuccinate","59889","20846-91-7 / 178949-82-1",,123395,"https://pubchem.ncbi.nlm.nih.gov/compound/123395"
"trisodium edta","38772","150-38-9","205-758-8",9008,"https://pubchem.ncbi.nlm.nih.gov/compound/9008"
"disodium phosphate","33650","7558-79-4 / 7782-85-6","231-448-7 / -",24203,"https://pubchem.ncbi.nlm.nih.gov/compound/24203"
"pentasodium pentetate","36485","140-01-2","205-391-3",8779,"https://pubchem.ncbi.nlm.nih.gov/compound/8779"
"sodium metabisulfite","37956","7681-57-4 / 7757-74-6","231-673-0 / -",24346,"https://pubchem.ncbi.nlm.nih.gov/compound/24346"
"disodium cocoamphodipropionate","75825","68411-57-4","270-131-8",,""
"cetrimonium bromide","32589","57-09-0","200-311-3",5974,"https://pubchem.ncbi.nlm.nih.gov/compound/5974"
"pentasodium triphosphate","36486","7758-29-4","231-838-7",24455,"https://pubchem.ncbi.nlm.nih.gov/compound/24455"
"sodium citrate","37816","68-04-2 / 6132-04-3","200-675-3",23662352,"https://pubchem.ncbi.nlm.nih.gov/compound/23662352"
"disodium coco-glucoside citrate","55902",,,,""
"disodium peg-5 laurylcitrate sulfosuccinate","55894","164458-73-5",,,""
"2-o-ethyl ascorbic acid","85189","112894-37-8","-",,""
"sodium hexametaphosphate","79493","10124-56-8 / 10361-03-2 / 68915-31-1","233-343-1 / 272-808-3",24968,"https://pubchem.ncbi.nlm.nih.gov/compound/24968"
"sodium metaphosphate","79773","10361-03-2 / 50813-16-6","233-782-9 / 256-779-4",16133893,"https://pubchem.ncbi.nlm.nih.gov/compound/16133893"
"peg/ppg-14/7 dimethyl ether","57111","61419-46-3",,,""
"peg/ppg-17/4 dimethyl ether","57120",,,,""
"rehmannia chinensis root extract","84207","-","-",,""
"artemisia princeps leaf extract","54521","223747-95-3","-",,""
"uncaria gambir extract","38816","8001-48-7","232-285-4",,""
"pyrola incarnata extract","58787",,,,""
"hesperidin methyl chalcone","56363","24292-52-2","246-128-2",6436550,"https://pubchem.ncbi.nlm.nih.gov/compound/6436550"
"hesperidin","34252","520-26-3","208-288-1",10621,"https://pubchem.ncbi.nlm.nih.gov/compound/10621"
"glucosyl hesperidin","56193",,,,""
"neohesperidin dihydrochalcone","85064","20702-77-6","243-978-6",30231,"https://pubchem.ncbi.nlm.nih.gov/compound/30231"
"ammonium acryloyldimethyltaurate/steareth-25 methacrylate crosspolymer","54591",,,,""
"ammonium acryloyldimethyltaurate/carboxyethyl acrylate crosspolymer","92979",,,,""
"peg-40 sorbitan stearate","76902","9005-67-8","-",443314,"https://pubchem.ncbi.nlm.nih.gov/compound/443314"
"lauric acid","34931","143-07-7","205-582-1",3893,"https://pubchem.ncbi.nlm.nih.gov/compound/3893"
"glyceryl laurate","76230","27215-38-4 / 142-18-7","248-337-4 / 205-526-6",14871,"https://pubchem.ncbi.nlm.nih.gov/compound/14871"
"propylene glycol laurate","78810","27194-74-7 / 142-55-2 / 37321-62-3 / 199282-83-2","248-315-4 / 205-542-3",14870,"https://pubchem.ncbi.nlm.nih.gov/compound/14870"
"glyceryl dilaurate","34060","27638-00-2","248-586-9",33979,"https://pubchem.ncbi.nlm.nih.gov/compound/33979"
"peg-8 laurate","77387","9004-81-3",,62699,"https://pubchem.ncbi.nlm.nih.gov/compound/62699"
"lauramide mea","34876","142-78-9","205-560-1",8899,"https://pubchem.ncbi.nlm.nih.gov/compound/8899"
"lauramide dea","34875","120-40-1","204-393-1",8430,"https://pubchem.ncbi.nlm.nih.gov/compound/8430"
"cetyl laurate","74962","20834-06-4","244-071-8",88709,"https://pubchem.ncbi.nlm.nih.gov/compound/88709"
"sodium acryloyldimethyltaurate/methacrylamidolauric acid copolymer","85563","-","-",,""
"isopropyl laurate","34696","10233-13-3","233-560-1",25068,"https://pubchem.ncbi.nlm.nih.gov/compound/25068"
"allantoin","31411","97-59-6","202-592-8",204,"https://pubchem.ncbi.nlm.nih.gov/compound/204"
"allantoin panthenol","54295",,,,""
"sodium allantoin pca","58717",,,,""
"allantoin acetyl methionine","74183","4207-40-3","224-126-2",168975,"https://pubchem.ncbi.nlm.nih.gov/compound/168975"
"alcloxa","31400","1317-25-5","215-262-3",44135361,"https://pubchem.ncbi.nlm.nih.gov/compound/44135361"
"allantoin ascorbate","74184","57448-83-6","260-739-1",171592,"https://pubchem.ncbi.nlm.nih.gov/compound/171592"
"allantoin glycyrrhetinic acid","31417","4572-09-2","-",165252,"https://pubchem.ncbi.nlm.nih.gov/compound/165252"
"aldioxa","31403","5579-81-7","226-964-4",16683101,"https://pubchem.ncbi.nlm.nih.gov/compound/16683101"
"peg-40 stearate","76904","9004-99-3","-",24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"peg-8 distearate","77379","9005-08-7",,,""
"peg-75 stearate","77300","9004-99-3",,24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"peg-8 stearate","77398","9004-99-3",,24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"peg-8 isostearate","77385","56002-14-3",,91975,"https://pubchem.ncbi.nlm.nih.gov/compound/91975"
"peg-32 stearate","78311","9004-99-3","-",24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"sodium laureth sulfate","79583","3088-31-1 / 9004-82-4 / 68891-38-3 / 1335-72-4 / 68585-34-2 / 91648-56-5","221-416-0/ - / 500-234-8 / - / 500-223-8 / 293-918-8",23665884,"https://pubchem.ncbi.nlm.nih.gov/compound/23665884"
"hexylene glycol","34283","107-41-5","203-489-0",7870,"https://pubchem.ncbi.nlm.nih.gov/compound/7870"
"polyethylene terephthalate","36708","25038-59-9",,,""
"methyl methacrylate crosspolymer","78369","25777-71-3","-",3080735,"https://pubchem.ncbi.nlm.nih.gov/compound/3080735"
"peg-8","77303","5117-19-1 / 25322-68-3 (generic)","225-856-4",,""
"betaine","74520","107-43-7/ 590-47-6","203-490-6/ 209-684-7",247,"https://pubchem.ncbi.nlm.nih.gov/compound/247"
"coco-betaine","75265","68424-94-2","270-329-4/931-700-2",,""
"lauramidopropyl betaine","34880","4292-10-8","224-292-6",20280,"https://pubchem.ncbi.nlm.nih.gov/compound/20280"
"lauryl betaine","34954","683-10-3","211-669-5",12686,"https://pubchem.ncbi.nlm.nih.gov/compound/12686"
"cetyl betaine","74950","693-33-4","211-748-4",93554,"https://pubchem.ncbi.nlm.nih.gov/compound/93554"
"ergothioneine","56156","497-30-3","207-843-5",3032312,"https://pubchem.ncbi.nlm.nih.gov/compound/3032312"
"babassuamidopropyl betaine","74543","223704-95-8","-",,""
"capryl/capramidopropyl betaine","32399",,,,""
"betaine salicylate","54747",,,,""
"oleyl betaine","78024","871-37-4","212-806-1",6436882,"https://pubchem.ncbi.nlm.nih.gov/compound/6436882"
"phaseolus radiatus seed extract","59199","-","-",,""
"betula platyphylla japonica bark extract","54759","223748-09-2","-",,""
"cyclohexasiloxane","75406","540-97-6","208-762-8",10911,"https://pubchem.ncbi.nlm.nih.gov/compound/10911"
"cycloheptasiloxane","55546","107-50-6","203-496-9",,""
"ammonium polyacryloyldimethyl taurate","54601","62152-14-1","-",,""
"octyldodecanol","35610","5333-42-6","226-242-9",21414,"https://pubchem.ncbi.nlm.nih.gov/compound/21414"
"octyldecanol","35607","45235-48-1","917-847-5",,""
"styrene/acrylates/ammonium methacrylate copolymer","79305",,,,""
"lauryl methacrylate/glycol dimethacrylate crosspolymer","85027",,,,""
"ethylene/methacrylate copolymer","56076",,,,""
"acrylates/stearyl acrylate/dimethicone methacrylate copolymer","54382",,,,""
"dichlorobenzyl alcohol","33259","1777-82-8","217-210-5",25493,"https://pubchem.ncbi.nlm.nih.gov/compound/25493"
"calcium pantetheine sulfonate","74909","34644-00-3",,,""
"citronellol","32861","106-22-9 / 26489-01-0 / 7540-51-4 / 1117-61-9","203-375-0 / 247-737-6 / 231-415-7 / 214-250-5",8842,"https://pubchem.ncbi.nlm.nih.gov/compound/8842"
"hydroxycitronellol","40277","107-74-4","203-517-1",249494,"https://pubchem.ncbi.nlm.nih.gov/compound/249494"
"citronellyl methylcrotonate","55471","20770-40-5","244-019-4",89382,"https://pubchem.ncbi.nlm.nih.gov/compound/89382"
"citronellal","75378","106-23-0","203-376-6",7794,"https://pubchem.ncbi.nlm.nih.gov/compound/7794"
"citronellyl acetate","75381","150-84-5","205-775-0",9017,"https://pubchem.ncbi.nlm.nih.gov/compound/9017"
"ethyl trimethylcyclopentene butenol","56067","28219-61-6","248-908-8",6438196,"https://pubchem.ncbi.nlm.nih.gov/compound/6438196"
"methyleugenyl peg-8 dimethicone","58131","200443-93-2",,,""
"4-methyl-3-decen-5-ol","40660","81782-77-6","279-815-0",6441135,"https://pubchem.ncbi.nlm.nih.gov/compound/6441135"
"methyl eugenol","35289","93-15-2","202-223-0",7127,"https://pubchem.ncbi.nlm.nih.gov/compound/7127"
"geraniol","33991","106-24-1","203-377-1",637566,"https://pubchem.ncbi.nlm.nih.gov/compound/637566"
"pelargonium graveolens oil","82458","90082-51-2","290-140-0",,""
"geranyl acetate","33995","105-87-3","203-341-5",1549026,"https://pubchem.ncbi.nlm.nih.gov/compound/1549026"
"pelargonium graveolens water","82245","90082-51-2","290-140-0",,""
"glyceryl diisostearate","76208","68958-48-5","273-368-5",3034483,"https://pubchem.ncbi.nlm.nih.gov/compound/3034483"
"glyceryl diisostearate/hydrogenated rosinate","56210",,,,""
"hexyl cinnamal","40233","101-86-0","202-983-3/639-566-4",1550884,"https://pubchem.ncbi.nlm.nih.gov/compound/1550884"
"octocrylene","35585","6197-30-4","228-250-8",22571,"https://pubchem.ncbi.nlm.nih.gov/compound/22571"
"cinnamyl alcohol","32853","104-54-1","203-212-3",5315892,"https://pubchem.ncbi.nlm.nih.gov/compound/5315892"
"cinnamal","32846","104-55-2","203-213-9",637511,"https://pubchem.ncbi.nlm.nih.gov/compound/637511"
"phenylalanine","79702","63-91-2 / 150-30-1","200-568-1 / 205-756-7",994,"https://pubchem.ncbi.nlm.nih.gov/compound/994"
"benzyl cinnamate","32155","103-41-3","203-109-3",7652,"https://pubchem.ncbi.nlm.nih.gov/compound/7652"
"ferulic acid","33935","1135-24-6","214-490-0",445858,"https://pubchem.ncbi.nlm.nih.gov/compound/445858"
"ethyl ferulate","56000","4046-02-0","223-745-5",736681,"https://pubchem.ncbi.nlm.nih.gov/compound/736681"
"octadecyl di-t-butyl-4-hydroxyhydrocinnamate","57555","2082-79-3","218-216-0",16386,"https://pubchem.ncbi.nlm.nih.gov/compound/16386"
"peg-100 stearate","77453","9004-99-3",,24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"peg-20 methyl glucose sesquistearate","78048","68389-70-8",,,""
"peg-20 stearate","78054","9004-99-3","-",24762,"https://pubchem.ncbi.nlm.nih.gov/compound/24762"
"peg-20 glyceryl triisostearate","57721",,,,""
"peg-2 stearate","77937","106-11-6","203-363-5",7788,"https://pubchem.ncbi.nlm.nih.gov/compound/7788"
"peg-20 glyceryl stearate","77955",,,,""
"peg-20 glyceryl isostearate","77951","-","-",,""
"peg-2 stearate se","77938",,,,""
"peg-2 distearate","36029","109-30-8","203-663-6",61026,"https://pubchem.ncbi.nlm.nih.gov/compound/61026"
"tourmaline","59787","1317-93-7",,,""
"poloxamer 124","80128","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"poloxamer 184","80133","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"poloxamine 1307","36673","11111-34-5","-",,""
"poloxamer 188","80135","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"poloxamer 182","80130","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"poloxamer 101","80122","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"poloxamer 123","80127","9003-11-6",,24751,"https://pubchem.ncbi.nlm.nih.gov/compound/24751"
"sodium cocoamphoacetate","79366","90387-76-1","291-352-6/931-291-0",,""
"phytosteryl/behenyl/octyldodecyl lauroyl glutamate","59397","-","-",,""
"polyglyceryl-3 methylglucose distearate","78897","-","-",,""
"honey extract","92417","91052-92-5","293-255-4",,""
"nylon-12","35565","25038-74-8",,,""
"niacinamide","35499","98-92-0","202-713-4",936,"https://pubchem.ncbi.nlm.nih.gov/compound/936"
"cocamide mea","32919","68140-00-1","268-770-2",,""
"stearamidopropyl dimethylamine","38257","7651-02-7","231-609-1",62109,"https://pubchem.ncbi.nlm.nih.gov/compound/62109"
"c10-18 triglycerides","74614","85665-33-4","288-123-8",,""
"panthenyl ethyl ether","35840","667-83-4","211-569-1",94184,"https://pubchem.ncbi.nlm.nih.gov/compound/94184"
"ceramide 3","96263",,,,""
